Resturant_Name,Cuisine,Location,Dining_Rating,Delivery_Rating,City
Kolkata Special Kathi Rolls,"Rolls

Momos

Fast Food","1, Rehri Market, Crystal Chowk, INA Colony, Amritsar",4.0,4.1,Amritsar
Kake Da Hotel Since 1931,"North Indian

Chinese

Mughlai

Rolls

Biryani","SCO 38, 97, Ranjit Avenue, Amritsar",4.3,4.0,Amritsar
R K Food Plaza,"North Indian

Beverages","Hall Gate, Katra Kanhaiyan, Opposite Amrit Talkies, Town Hall, Amritsar",4.1,4.3,Amritsar
Abhi's Kitchen Club,"North Indian

Chinese

Burger

Rolls

Street Food

Beverages","38 A, 100 Feet Road, Mohan Nagar, Amritsar",3.8,3.8,Amritsar
Domino's Pizza,"Pizza

Fast Food

Pasta

Desserts

Beverages","SCO 50 - 51, District Shopping Centre, Block B, Ranjit Avenue, Amritsar",4.1,4.0,Amritsar
Bharawan Da Dhaba,"North Indian

Chinese

Fast Food

South Indian

Desserts","Sco- 104, Ranjeet Avenue, Ranjit Avenue, Amritsar",3.3,3.8,Amritsar
Poornima Chinese Food,"Fast Food

Chinese

Afghan

Street Food

Sandwich

North Indian","Near Crystal Chowk, Rehri Market, INA Colony, Amritsar",4.1,4.0,Amritsar
Burger King,"Burger

Fast Food

Wraps

Beverages","Ground Floor, Novelty Mall, Lawrence Road, Amritsar",3.9,3.9,Amritsar
Gauri Shankar & Sons,"North Indian

Street Food","Shop 2 & 3, 51, Court Road, INA Colony, Amritsar",3.8,4.0,Amritsar
