Resturant_Name,Cuisine,Location,Dining_Rating,Delivery_Rating,City
14th Avenue Cafe & Bake Shop,"Cafe

Coffee

Pizza

Burger

Sandwich

Fast Food

Beverages

Bakery","Parraypora, Airport Road, Bazrulla, Srinagar",,4.0,Srinagar
70’s Cafe Liberty,"Cafe

Biryani

Pizza

Burger

Sandwich

Rolls

Fast Food

Beverages","2nd Floor, Nirman Complex, Baghat, Zone V, Bazrulla, Srinagar",,4.3,Srinagar
KFC,"Burger

Fast Food

Rolls","Survey 2104/1590/630, First Floor, Hall 2, Shamshabad, Bemina, Lal Chowk, Srinagar",,4.0,Srinagar
Al Mannan Cafe & Restaurant,"Pizza

North Indian

Momos","Dargah, Zone II Hazratbal, Srinagar",3.8,,Srinagar
Tandoor,"Mughlai

Chinese

North Indian

Pasta

Pizza

Biryani

Rolls","Near Old Palladium Cinema, Lal Chowk, Srinagar",3.9,4.1,Srinagar
Brew’n Bite,"Burger

Fast Food

Beverages","Naikbagh, Zone 5, Nowgam, Srinagar",,4.0,Srinagar
Hills Kitchen,"North Indian

Biryani

Chinese

Pizza

Sichuan","Gungbugh, Hyderpora, Zone V, Bazrulla, Srinagar",,4.0,Srinagar
Rattan's Veg & Non Veg,"North Indian

Mughlai

Biryani","Court Road, Zone 1, Lal Chowk, Srinagar",3.9,4.3,Srinagar
Samzan,North Indian,"Sanat Nagar Bypass, Near Jeep Showroom, Alamdar Colony, Srinagar",,4.2,Srinagar
