Resturant_Name,Cuisine,Location,Dining_Rating,Delivery_Rating,City
China Town Chinese Food,"Chinese

Street Food

Sichuan","City Light Road, Panaas, City Light, Surat",4.0,,Surat
Shree Nilkanth Dinning Hall,"Gujarati

Kathiyawadi

North Indian","466, 2-3, 2nd Floor, Paiki Office, Kunti Shopping Centre, Adajan Patiya, Surat",4.0,,Surat
McDonald's,"Burger

Fast Food

Beverages

Tea

Coffee","Reliance Mega Mall, Udhana Darwaja, Opposite Passport Office, Ring Road, Rustampura, Surat",4.1,,Surat
Sigdi Restaurant,"Biryani

North Indian

Charcoal Chicken

Grilled Chicken

BBQ","Bungalow 5, Alvi Row House, Gorat, Cozway Road, Rander, Surat",4.0,,Surat
Punjabi Dhaba,North Indian,"Shop L-3, 4 Sai Krupa Park, Opposite Shreeram Marble Althan, Althan Bhatar, Surat",,,Surat
Mahesh Pav Bhaji,"Street Food

Chinese

Fast Food

South Indian

Sandwich

Pizza

Waffle","Shop 7, Ground Floor, Mishan Shopping Center, Athwa, Surat",,3.7,Surat
Kailash Sweets & Snacks,"Mithai

Street Food

Fast Food

Beverages","Shop 1-2, 1/1255-B, Paikee Shreenathji Apartment, Timaliyawad, Nanpura, Surat",4.3,,Surat
La Pino'z Pizza,"Pizza

Italian

Pasta

Fast Food","276/277/2, Plot 52, Udhna Gam, Surat",4.0,,Surat
Radhe Dhokla,"North Indian

Chinese

Gujarati

Biryani

Street Food

Fast Food","Rustampura Main Road, Opposite Central Bank, Rustampura, Surat",4.2,,Surat
