Resturant_Name,Cuisine,Location,Dining_Rating,Delivery_Rating,City
Khichdi In A Bowl,"North Indian

Healthy Food","21, 1st Floor, 2nd Stage, CMH Road, Indiranagar, Bangalore",-,4.0,Bengaluru
Pomodoro Pizza company,Pizza,"12, Abshot Layout, Palace Cross Road, Vasanth Nagar, Bangalore",-,4.1,Bengaluru
Domino's Pizza,"Pizza

Fast Food

Desserts

Beverages","2/13, Ground Floor, Rehinus Street, Opposite Hockey Stadium, Shanti Nagar, Bangalore",3.2,4.4,Bengaluru
Original Burger Co.,"Burger

Fast Food

Desserts","37/2, 1, Ground Floor, Building Chicago Avanue, Sampangi Ramaswamy Temple Road, Near Cunningham Road, Bangalore",-,4.0,Bengaluru
Burger King,"Burger

Fast Food

Desserts

Beverages","111/4, Asha Gallery, Commercial Street, Bangalore",3.8,4.1,Bengaluru
Subway,"Healthy Food

Sandwich

Fast Food

Wraps

Salad

Beverages","Shivajinagara, Municipal 50, BBMP Ward 111 St. Marks Road, Bangalore",-,4.0,Bengaluru
Rajasthani Dhaba,"Rajasthani

North Indian","9, 5th Cross, Lakshmi Road, Shanti Nagar, Bangalore",3.5,3.9,Bengaluru
Empire Restaurant - Since 1966,"North Indian

Biryani

Kebab

South Indian

Mughlai

Chinese

Seafood

Shawarma","78, Center Street, Shivajinagar, Bangalore",4.0,4.2,Bengaluru
Nandhini Deluxe,"Andhra

Biryani

North Indian

Chinese","63, Coles Road, Frazer Town, Bangalore",3.6,3.9,Bengaluru
